Experiment,experiment_1
Date_Time,20260903_222740
Timestamp_s,h_t
0.0100,6.885306
0.0200,5.036322
0.0300,3.692987
0.0400,2.717990
0.0500,2.010246
0.0600,1.495887
0.0700,1.121252
0.0800,0.847532
0.0900,0.646752
0.1000,0.498783
0.1100,0.389155
0.1200,0.307465
0.1300,0.246227
0.1400,0.200043
0.1500,0.165011
0.1600,0.138305
0.1700,0.117868
0.1800,0.102203
0.1900,0.090217
0.2000,0.081111
0.2100,0.074305
0.2200,0.069384
0.2300,0.066057
0.2400,0.064133
0.2500,0.063504
0.2600,0.064133
0.2700,0.066057
0.2800,0.069384
0.2900,0.074305
0.3000,0.081111
0.3100,0.090217
0.3200,0.102203
0.3300,0.117868
0.3400,0.138305
0.3500,0.165011
0.3600,0.200043
0.3700,0.246227
0.3800,0.307465
0.3900,0.389155
0.4000,0.498783
0.4100,0.646752
0.4200,0.847532
0.4300,1.121252
0.4400,1.495887
0.4500,2.010246
0.4600,2.717990
0.4700,3.692987
0.4800,5.036322
0.4900,6.885306
0.5000,9.424778
0.5100,12.900870
0.5200,17.637165
0.5300,24.052736
0.5400,32.680926
0.5500,44.186846
0.5600,59.380443
0.5700,79.220780
0.5800,104.805950
0.5900,137.342272
0.6000,178.086331
0.6100,228.254703
0.6200,288.899161
0.6300,360.750041
0.6400,444.037220
0.6500,538.305986
0.6600,642.252676
0.6700,753.610439
0.6800,869.116725
0.6900,984.589304
0.7000,1095.126057
0.7100,1195.426112
0.7200,1280.208748
0.7300,1344.685830
0.7400,1385.028252
0.7500,1398.761071
0.7600,1385.028252
0.7700,1344.685830
0.7800,1280.208748
0.7900,1195.426112
0.8000,1095.126057
0.8100,984.589304
0.8200,869.116725
0.8300,753.610439
0.8400,642.252676
0.8500,538.305986
0.8600,444.037220
0.8700,360.750041
0.8800,288.899161
0.8900,228.254703
0.9000,178.086331
0.9100,137.342272
0.9200,104.805950
0.9300,79.220780
0.9400,59.380443
0.9500,44.186846
0.9600,32.680926
0.9700,24.052736
0.9800,17.637165
0.9900,12.900870
1.0000,9.424778
1.0100,6.885306
1.0200,5.036322
1.0300,3.692987
1.0400,2.717990
1.0500,2.010246
1.0600,1.495887
1.0700,1.121252
1.0800,0.847532
1.0900,0.646752
1.1000,0.498783
1.1100,0.389155
1.1200,0.307465
1.1300,0.246227
1.1400,0.200043
1.1500,0.165011
1.1600,0.138305
1.1700,0.117868
1.1800,0.102203
1.1900,0.090217
1.2000,0.081111
1.2100,0.074305
1.2200,0.069384
1.2300,0.066057
1.2400,0.064133
1.2500,0.063504
1.2600,0.064133
1.2700,0.066057
1.2800,0.069384
1.2900,0.074305
1.3000,0.081111
1.3100,0.090217
1.3200,0.102203
1.3300,0.117868
1.3400,0.138305
1.3500,0.165011
1.3600,0.200043
1.3700,0.246227
1.3800,0.307465
1.3900,0.389155
1.4000,0.498783
1.4100,0.646752
1.4200,0.847532
1.4300,1.121252
1.4400,1.495887
1.4500,2.010246
1.4600,2.717990
1.4700,3.692987
1.4800,5.036322
1.4900,6.885306
1.5000,9.424778
1.5100,12.900870
1.5200,17.637165
1.5300,24.052736
1.5400,32.680926
1.5500,44.186846
1.5600,59.380443
1.5700,79.220780
1.5800,104.805950
1.5900,137.342272
1.6000,178.086331
1.6100,228.254703
1.6200,288.899161
1.6300,360.750041
1.6400,444.037220
1.6500,538.305986
1.6600,642.252676
1.6700,753.610439
1.6800,869.116725
1.6900,984.589304
1.7000,1095.126057
1.7100,1195.426112
1.7200,1280.208748
1.7300,1344.685830
1.7400,1385.028252
1.7500,1398.761071
1.7600,1385.028252
1.7700,1344.685830
1.7800,1280.208748
1.7900,1195.426112
1.8000,1095.126057
1.8100,984.589304
1.8200,869.116725
1.8300,753.610439
1.8400,642.252676
